Order_ID,Customer_ID,Order_Date,Required_Delivery_Date,Actual_Delivery_Date,Delay_Days,Shipping_Cost,Contract_Grace_Period_Days,Warehouse_Location,Distance_to_Warehouse_km,Is_Complained,Complaint_Reason
ORD-100000,B2B-33392,2025-10-23 10:16:21,2025-10-30 10:16:21,2025-10-29 10:16:21,-1,56.57,7,Adelaide,172.39,0.0,
ORD-100001,B2B-83887,2025-09-18 07:39:16,2025-09-27 07:39:16,2025-09-26 07:39:16,-1,47.14,7,Brisbane,45.19,0.0,
ORD-100002,B2B-41706,2026-06-05 05:25:39,2026-06-19 05:25:39,2026-06-21 05:25:39,2,46.21,7,Adelaide,65.65,0.0,
ORD-100003,B2B-28602,2025-10-23 20:03:19,2025-11-03 20:03:19,2025-11-05 20:03:19,2,47.35,3,Melbourne,223.1,0.0,
ORD-100004,B2B-34949,2025-12-17 04:01:50,2025-12-31 04:01:50,2025-12-31 04:01:50,0,74.44,3,Adelaide,297.34,0.0,
ORD-100005,B2B-30192,2025-08-18 22:58:34,2025-08-28 22:58:34,2025-08-26 22:58:34,-2,85.14,7,Melbourne,660.18,0.0,
ORD-100006,B2B-10100,2025-09-16 11:19:55,2025-09-25 11:19:55,2025-09-26 11:19:55,1,53.91,3,Perth,132.58,0.0,
ORD-100007,B2B-83863,2026-07-28 23:48:56,2026-08-11 23:48:56,2026-08-17 23:48:56,6,63.03,3,Perth,224.08,1.0,Late Delivery
ORD-100008,B2B-41706,2026-01-25 23:17:57,2026-02-05 23:17:57,2026-02-06 23:17:57,1,58.96,7,Adelaide,65.65,1.0,Customer Service
ORD-100009,B2B-83563,2026-07-23 10:51:30,2026-08-02 10:51:30,2026-08-01 10:51:30,-1,85.03,3,Perth,472.14,0.0,
ORD-100010,B2B-19595,2026-04-20 23:40:33,2026-05-03 23:40:33,2026-05-01 23:40:33,-2,66.73,7,Brisbane,342.82,0.0,
ORD-100011,B2B-79642,2026-05-13 03:32:20,2026-05-24 03:32:20,2026-05-25 03:32:20,1,72.62,3,Melbourne,606.95,0.0,
ORD-100012,B2B-15534,2026-04-11 16:38:45,2026-04-18 16:38:45,2026-04-18 16:38:45,0,71.83,3,Brisbane,688.04,0.0,
ORD-100013,B2B-89921,2026-03-01 01:29:36,2026-03-12 01:29:36,2026-03-10 01:29:36,-2,56.38,7,Perth,329.39,0.0,
ORD-100014,B2B-89291,2025-12-24 05:34:41,2026-01-01 05:34:41,2026-01-02 05:34:41,1,63.49,3,Melbourne,355.57,0.0,
ORD-100015,B2B-71321,2026-07-16 03:28:56,2026-07-25 03:28:56,2026-07-26 03:28:56,1,80.33,7,Melbourne,460.1,0.0,
ORD-100016,B2B-15563,2026-03-14 07:31:59,2026-03-25 07:31:59,2026-03-27 07:31:59,2,72.31,7,Brisbane,559.64,0.0,
ORD-100017,B2B-25226,2026-02-19 01:43:06,2026-03-01 01:43:06,2026-02-26 01:43:06,-3,59.01,3,Melbourne,147.8,0.0,
ORD-100018,B2B-35323,2025-10-25 19:41:44,2025-11-08 19:41:44,2025-11-08 19:41:44,0,57.83,3,Perth,248.47,0.0,
ORD-100019,B2B-17750,2025-08-09 05:29:14,2025-08-19 05:29:14,2025-08-19 05:29:14,0,63.19,3,Perth,179.54,0.0,
