Order_ID,Customer_ID,Distance_to_Warehouse_km,Contract_Grace_Period_Days,Lead_Time_Allowed,Is_Weekend_Deadline,Shipping_Cost,Delay_Days,Days_Beyond_Grace,Is_Late_Complaint
ORD-100000,B2B-33392,172.39,7,7,0,56.57,-1,0,0
ORD-100001,B2B-83887,45.19,7,9,1,47.14,-1,0,0
ORD-100002,B2B-41706,65.65,7,14,0,46.21,2,0,0
ORD-100003,B2B-28602,223.1,3,11,0,47.35,2,0,0
ORD-100004,B2B-34949,297.34,3,14,0,74.44,0,0,0
ORD-100005,B2B-30192,660.18,7,10,0,85.14,-2,0,0
ORD-100006,B2B-10100,132.58,3,9,0,53.91,1,0,0
ORD-100007,B2B-83863,224.08,3,14,0,63.03,6,3,1
ORD-100008,B2B-41706,65.65,7,11,0,58.96,1,0,0
ORD-100009,B2B-83563,472.14,3,10,1,85.03,-1,0,0
ORD-100010,B2B-19595,342.82,7,13,1,66.73,-2,0,0
ORD-100011,B2B-79642,606.95,3,11,1,72.62,1,0,0
ORD-100012,B2B-15534,688.04,3,7,1,71.83,0,0,0
ORD-100013,B2B-89921,329.39,7,11,0,56.38,-2,0,0
ORD-100014,B2B-89291,355.57,3,8,0,63.49,1,0,0
ORD-100015,B2B-71321,460.1,7,9,1,80.33,1,0,0
ORD-100016,B2B-15563,559.64,7,11,0,72.31,2,0,0
ORD-100017,B2B-25226,147.8,3,10,1,59.01,-3,0,0
ORD-100018,B2B-35323,248.47,3,14,1,57.83,0,0,0
ORD-100019,B2B-17750,179.54,3,10,0,63.19,0,0,0
ORD-100020,B2B-33671,831.52,7,8,0,111.72,-2,0,0
ORD-100021,B2B-20126,415.01,3,12,1,76.94,2,0,0
ORD-100022,B2B-80168,467.72,3,13,0,76.36,0,0,0
ORD-100023,B2B-21541,112.75,3,14,0,45.57,1,0,0
ORD-100024,B2B-8713,254.25,3,14,1,58.93,2,0,0
ORD-100025,B2B-49876,216.16,3,12,1,58.88,-1,0,0
ORD-100026,B2B-81641,298.87,3,11,0,59.79,3,0,0
ORD-100027,B2B-70880,644.27,3,10,0,76.27,2,0,0
ORD-100028,B2B-2258,331.68,3,11,0,74.05,1,0,0
ORD-100029,B2B-27189,532.44,3,9,0,62.34,-3,0,0
ORD-100030,B2B-55930,264.74,3,10,0,60.2,-1,0,0
ORD-100031,B2B-24922,637.48,7,12,0,95.99,0,0,0
ORD-100032,B2B-33181,257.39,3,7,0,62.2,0,0,0
ORD-100033,B2B-46127,494.33,3,13,1,67.75,1,0,0
ORD-100034,B2B-6304,299.5,3,9,0,73.82,1,0,0
ORD-100035,B2B-26477,267.63,3,10,1,64.92,0,0,0
ORD-100036,B2B-41761,248.81,3,9,0,84.79,1,0,0
ORD-100037,B2B-45330,371.39,3,13,0,65.95,-3,0,0
ORD-100038,B2B-86465,662.66,7,11,1,80.95,0,0,0
ORD-100039,B2B-14205,93.91,7,14,1,59.98,-3,0,0
ORD-100040,B2B-55930,264.74,3,9,0,78.51,1,0,0
ORD-100041,B2B-75357,507.79,3,10,0,84.38,1,0,0
ORD-100042,B2B-6304,299.5,3,12,1,63.29,0,0,0
ORD-100043,B2B-33181,257.39,3,14,0,58.2,0,0,0
ORD-100044,B2B-26819,325.12,7,12,1,77.87,0,0,0
ORD-100045,B2B-21647,378.29,3,14,0,80.55,1,0,1
ORD-100046,B2B-52072,696.94,7,11,0,89.86,3,0,0
ORD-100047,B2B-91629,222.93,3,14,1,88.02,1,0,0
ORD-100048,B2B-76315,617.5,3,14,0,62.57,-1,0,0
ORD-100049,B2B-24999,573.77,7,13,1,80.99,2,0,0
ORD-100050,B2B-83884,339.04,7,12,0,80.1,4,0,0
ORD-100051,B2B-9933,318.11,7,7,0,73.73,-2,0,0
ORD-100052,B2B-86845,198.3,3,10,0,51.48,0,0,0
ORD-100053,B2B-39279,220.21,7,9,0,62.44,1,0,0
ORD-100054,B2B-69860,629.23,3,9,0,98.41,0,0,0
ORD-100055,B2B-59929,145.95,3,12,0,55.45,0,0,0
ORD-100056,B2B-4952,366.81,3,11,0,67.97,-1,0,0
