Customer_ID,Total_Orders,Delayed_Orders,Late_Complaints,Contract_Grace_Period,Complaint_Rate_When_Delayed,Tolerance_Score,Base_Max_Safe_Delay_Days,Risk_Profile
B2B-10100,12,5,0,3,0.0,1.0,3,Low Risk
B2B-10240,9,2,2,7,1.0,0.0,0,High Risk
B2B-10435,6,1,0,3,0.0,1.0,3,Low Risk
B2B-10589,10,3,0,7,0.0,1.0,3,Low Risk
B2B-10603,11,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-11265,9,2,0,3,0.0,1.0,3,Low Risk
B2B-11435,12,5,0,7,0.0,1.0,3,Low Risk
B2B-11521,10,3,0,3,0.0,1.0,3,Low Risk
B2B-11784,7,4,0,7,0.0,1.0,3,Low Risk
B2B-11848,10,5,0,3,0.0,1.0,3,Low Risk
B2B-11884,10,5,3,3,0.6,0.4,0,High Risk
B2B-11907,4,1,1,7,1.0,0.0,0,High Risk
B2B-12172,8,6,0,7,0.0,1.0,3,Low Risk
B2B-12409,11,2,0,7,0.0,1.0,3,Low Risk
B2B-1245,10,5,2,3,0.4,0.6,0,High Risk
B2B-12451,12,5,1,3,0.2,0.8,1,Medium Risk
B2B-12689,13,3,1,7,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-12858,13,3,0,7,0.0,1.0,3,Low Risk
B2B-13005,11,6,2,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-13363,13,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-13496,11,6,1,3,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-13926,14,5,4,3,0.8,0.19999999999999996,0,High Risk
B2B-13933,10,4,2,3,0.5,0.5,0,High Risk
B2B-14161,8,5,1,3,0.2,0.8,1,Medium Risk
B2B-14205,13,2,0,7,0.0,1.0,3,Low Risk
B2B-14370,11,5,0,7,0.0,1.0,3,Low Risk
B2B-14570,11,8,3,3,0.375,0.625,0,High Risk
B2B-14626,6,0,0,3,0.5,0.5,0,High Risk
B2B-1530,12,2,0,3,0.0,1.0,3,Low Risk
B2B-15429,8,3,2,3,0.6666666666666666,0.33333333333333337,0,High Risk
B2B-15534,7,5,3,3,0.6,0.4,0,High Risk
B2B-15563,12,7,0,7,0.0,1.0,3,Low Risk
B2B-1563,13,6,2,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-1575,18,1,0,3,0.0,1.0,3,Low Risk
B2B-15887,11,4,1,7,0.25,0.75,1,Medium Risk
B2B-15987,13,4,3,3,0.75,0.25,0,High Risk
B2B-15993,13,4,1,3,0.25,0.75,1,Medium Risk
B2B-16020,12,3,0,3,0.0,1.0,3,Low Risk
B2B-16185,10,4,0,3,0.0,1.0,3,Low Risk
B2B-16506,10,5,2,3,0.4,0.6,0,High Risk
B2B-16615,10,5,0,3,0.0,1.0,3,Low Risk
B2B-16719,14,6,1,7,0.16666666666666666,0.8333333333333334,1,Medium Risk
B2B-16829,5,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
B2B-16876,12,2,1,3,0.5,0.5,0,High Risk
B2B-16966,6,2,1,3,0.5,0.5,0,High Risk
B2B-1715,15,6,0,7,0.0,1.0,3,Low Risk
B2B-17175,12,5,3,3,0.6,0.4,0,High Risk
B2B-17434,11,5,1,3,0.2,0.8,1,Medium Risk
B2B-17449,6,5,1,7,0.2,0.8,1,Medium Risk
B2B-17520,12,4,0,7,0.0,1.0,3,Low Risk
B2B-17624,7,4,1,3,0.25,0.75,1,Medium Risk
B2B-17740,7,4,0,3,0.0,1.0,3,Low Risk
B2B-17750,11,4,2,3,0.5,0.5,0,High Risk
B2B-17835,12,5,2,3,0.4,0.6,0,High Risk
B2B-17894,6,3,0,7,0.0,1.0,3,Low Risk
B2B-18051,10,5,3,3,0.6,0.4,0,High Risk
B2B-18191,14,5,2,3,0.4,0.6,0,High Risk
B2B-18221,10,3,0,3,0.0,1.0,3,Low Risk
B2B-1835,7,2,1,3,0.5,0.5,0,High Risk
B2B-19214,12,4,0,7,0.0,1.0,3,Low Risk
B2B-19402,11,1,0,7,0.0,1.0,3,Low Risk
B2B-19407,17,10,3,3,0.3,0.7,0,High Risk
B2B-19543,8,3,0,7,0.0,1.0,3,Low Risk
B2B-19595,10,4,1,7,0.25,0.75,1,Medium Risk
B2B-19617,7,3,0,7,0.0,1.0,3,Low Risk
B2B-19864,4,0,0,3,0.5,0.5,0,High Risk
B2B-20126,10,3,0,3,0.0,1.0,3,Low Risk
B2B-20130,8,1,0,7,0.0,1.0,3,Low Risk
B2B-20143,12,5,2,3,0.4,0.6,0,High Risk
B2B-20256,12,5,2,3,0.4,0.6,0,High Risk
B2B-20315,10,5,1,3,0.2,0.8,1,Medium Risk
B2B-20421,11,5,2,3,0.4,0.6,0,High Risk
B2B-20890,7,3,0,7,0.0,1.0,3,Low Risk
B2B-21097,7,1,1,3,1.0,0.0,0,High Risk
B2B-21199,13,2,2,3,1.0,0.0,0,High Risk
B2B-21323,10,2,2,3,1.0,0.0,0,High Risk
B2B-2144,9,2,0,7,0.0,1.0,3,Low Risk
B2B-21541,8,3,1,3,0.3333333333333333,0.6666666666666667,0,High Risk
